number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
6805,https://github.com/tianocore/edk2/issues/6805,priority:medium | package:sourceleveldebugpkg | type:bug,[SourceLevelDebugPkg] Support AP function debugging in PEI phase (Bugzilla Bug 308),SourceLevelDebugPkg: AP function debugging unsupported in PEI phase,85,"Meets most criteria but lacks specific symptom, only condition and package/module are clear.",20,"Description lacked details on symptoms or repro steps, making it hard to infer specifics.",75,Improves clarity but lacks specific symptom detail from the original vague title.,Vague wording | Lacks concrete symptom,Package name | Phase condition,
6804,https://github.com/tianocore/edk2/issues/6804,package:mdemodulepkg | priority:low | type:bug,Several APIs in MdeModulePkg PrintLib instance miss checking the return value for internal function DxePrintLibPrint2ProtocolVaListToBaseList() (Bugzilla Bug 307),MdeModulePkg: PrintLib APIs miss return value checks for DxePrintLibPrint2ProtocolVaListToBaseList(),85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked concrete error symptoms or repro steps.,72,"Improved clarity on the issue, though original was somewhat clear but vague.",Vague wording | Lack of specific symptom,Package name MdeModulePkg,
6802,https://github.com/tianocore/edk2/issues/6802,package:mdemodulepkg | priority:low | type:bug,Add S3BootScriptSavePiMemPoll() API to follow PI spec. (Bugzilla Bug 304),MdeModulePkg: Add S3BootScriptSavePiMemPoll API per PI spec,85,Meets most criteria but lacks a concrete symptom or condition,20,Description lacked specific details about the issue,70,"Improves clarity and specificity, though original was somewhat clear","Vague title, missing concrete symptom or condition",Package name MdeModulePkg | API addition per PI spec,
9571,https://github.com/tianocore/edk2/issues/9571,package:shellpkg | priority:medium | type:bug,"Fix Shell to correctly support ""fs0:file.txt"" style of file path (Bugzilla Bug 303)",ShellPkg: Incorrect file path handling for 'fs0:file.txt',85,"Meets all criteria except specific condition, which is not provided in description",69,Description provides module name and symptom but lacks detailed repro steps or error codes,87,"Title is clearer about the specific issue with file path handling, making it easier to triage",Vague wording | Lacks specificity on symptom,Package name ShellPkg | Symptom of incorrect file path support,
6801,https://github.com/tianocore/edk2/issues/6801,package:shellpkg | priority:medium | type:bug,Shell.efi shouldn't support customized commands which are not defined in Shell spec (Bugzilla Bug 302),Shellpkg/Shell.efi: Rejects non-standard commands,85,Meets most criteria but lacks specific symptom condition,20,Description lacked details on symptoms or conditions,75,Improved clarity and specificity over original vague title,"Vague, unclear symptom | Lacks specific condition",Package name Shellpkg | Module name Shell.efi,
6800,https://github.com/tianocore/edk2/issues/6800,package:mdemodulepkg | priority:medium | type:bug,PxeBcSelectBootMenu does not accept input (Bugzilla Bug 301),MdeModulePkg/PxeBcSelectBootMenu: Input not accepted,85,"Meets all criteria except for a specific condition, which is unknown.",20,Description lacks details about the symptom or how to reproduce it.,75,"Improved by naming the module and stating the symptom, though condition is still vague.",Vague title | Lacks specific symptom,Module name: PxeBcSelectBootMenu | Symptom: Input not accepted,
6798,https://github.com/tianocore/edk2/issues/6798,package:basetools | state:duplicate | priority:low | type:bug,BaseTools build warnings using gcc 4.8.4 (Bugzilla Bug 299),BaseTools: build warnings using gcc 4.8.4,75,Meets most criteria but lacks specific symptom details.,20,Description lacked specifics on the exact nature of the build warnings.,60,"Improvement over original by specifying compiler version, but still vague.",Vague wording | Lacks specific symptom,Compiler version mentioned in description,
6797,https://github.com/tianocore/edk2/issues/6797,package:intelframeworkmodulepkg | package:armplatformpkg | package:mdepkg | package:mdemodulepkg | package:quarkplatformpkg | priority:medium | package:corebootpayloadpkg | package:intelframeworkpkg | type:bug,Create a EfiEventEmptyFunction() function in UefiLib to remove the duplication (Bugzilla Bug 298),MdeModulePkg: Duplicate code in EfiEventEmptyFunction(),85,"States package and specific function, but lacks a concrete symptom or condition.",20,Description does not provide details about the symptom or condition.,70,"Improves by specifying package and function, but original was vague without clear improvement in specificity.",Vague wording | Lacks concrete symptom,Package name from labels,
9570,https://github.com/tianocore/edk2/issues/9570,package:basetools | priority:high | type:bug,Escaping the dollar sign in build_rules.txt not possible (Bugzilla Bug 297),BaseTools: Escaping dollar sign in build_rules.txt fails,85,Meets most criteria but lacks specific condition or error message,30,Description lacked detailed information about the issue and its symptoms,75,"Improves clarity over original, though exact symptom is still vague",Vague wording | Lacks specific symptom,Escaping dollar sign in build_rules.txt,
9569,https://github.com/tianocore/edk2/issues/9569,package:mdemodulepkg | priority:medium | type:bug,DxeCore allocates way too much memory (Bugzilla Bug 295),DxeCore: Excessive memory allocation during initialization,85,Meets most criteria but lacks specific condition or trigger details.,20,"Description lacked specifics on symptom, module name, and repro steps.",75,Improves clarity over original vague title but could be more specific with condition details.,Vague wording | Lacks concrete symptom,DxeCore package name,
6796,https://github.com/tianocore/edk2/issues/6796,package:shellpkg | priority:low | type:bug,Strnicmp() should use UNICODE_COLLATION.StrUpr() instead of converting char to upper case inself (Bugzilla Bug 294),ShellPkg: Strnicmp() uses incorrect case conversion,85,"Names package, states symptom but lacks specific condition and exact module name",20,Description lacked details on the issue's trigger or concrete symptoms,75,"Improved clarity over original, though specifics are still vague",Vague wording | Lacks symptom specificity,Package name ShellPkg inferred from bugzilla label,
6795,https://github.com/tianocore/edk2/issues/6795,package:basetools | priority:high | type:bug,FmpTokens are optional in spec while basetool think it is necessary. (Bugzilla Bug 293),BaseTools: FmpTokens required error despite spec allowing optional,85,Meets most criteria but lacks specific condition due to ambiguity in original description.,60,"Description provided some context about the issue, but lacked detailed steps or error messages.",85,Improved clarity and specificity over the vague original title without losing essential information.,Vague wording | Lack of specific symptom,FmpTokens are optional in spec while basetool thinks it is necessary,
6794,https://github.com/tianocore/edk2/issues/6794,package:basetools | priority:high | type:bug,Can not run GenDepex.py from python sources (Bugzilla Bug 292),BaseTools/GenDepex.py: script fails to run from Python sources,85,Meets most criteria but lacks specific condition or error message,20,Description lacked details on the exact symptom and conditions,70,"Improves clarity over original, though description was sparse",Vague wording | Lacks specific symptom,Package name (BaseTools) | Module name (GenDepex.py),
6793,https://github.com/tianocore/edk2/issues/6793,package:fatbinpkg | priority:low | package:fatpkg | type:bug,Exception during UEFI SCT 2.4 test when DEBUG_PROPERTY_CLEAR_MEMORY_ENABLED is set (Bugzilla Bug 291),MdeModulePkg: ASSERT during SCT test when DEBUG_PROPERTY_CLEAR_MEMORY_ENABLED set,85,Meets most criteria but lacks specific module name and exact symptom details,40,"Description provided minimal context, lacking specifics on error or repro steps",72,Improved clarity and specificity over original but lacks precise module name,Vague symptom description | Lack of specific package/module,DEBUG_PROPERTY_CLEAR_MEMORY_ENABLED condition,
6792,https://github.com/tianocore/edk2/issues/6792,package:mdemodulepkg | priority:low | type:bug,Getting variable info is always checking input buffer against the first variable info (Bugzilla Bug 290),MdeModulePkg: VariableInfoGet always checks input buffer against first variable,85,Meets most criteria but lacks specific symptom and condition details,20,"Description lacked specifics on symptom, module name, or repro steps",70,Improves clarity over original by naming package but lacks specific condition and symptom details,Vague wording | Lacks concrete symptom,Package name MdeModulePkg,
6791,https://github.com/tianocore/edk2/issues/6791,package:basetools | state:invalid | priority:low | type:bug,Can't run full test of SCT 2.4b on Purley Platform (Bugzilla Bug 289),BaseTools: SCT 2.4b test fails on Purley Platform,85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked specifics about the error or repro steps.,60,"Improvement over original by specifying SCT version and platform, but still vague on symptom.",Vague wording | Lacks specific symptom,SCT 2.4b test failure mentioned,
6790,https://github.com/tianocore/edk2/issues/6790,package:securitypkg | priority:low | type:bug,Add setup option in Tcg2ConfigDxe to configure physical presence interface version (Bugzilla Bug 288),SecurityPkg/Tcg2ConfigDxe: Add option for physical presence interface version,85,Meets most criteria but lacks a concrete symptom or condition,30,Description lacked specific details about the issue and its impact,60,Improvement over original by specifying package/module but no clear symptom,"Vague, lacks concrete symptom or condition",Package name SecurityPkg | Module Tcg2ConfigDxe,
6789,https://github.com/tianocore/edk2/issues/6789,priority:medium | package:intelfsppkg | type:bug,Intel FSP 2.0 Packages do not have Readme.md files (Bugzilla Bug 286),Intelfsppkg: Missing Readme.md files for Intel FSP 2.0,85,"Names package, states symptom but lacks condition as none provided in description.",30,Description lacked specific details about the issue beyond confirming missing files.,75,"Improved by naming package and symptom, but original was vague so improvement is clear.",Vague title | Lacks specificity,Package name: Intelfsppkg | Symptom: Missing Readme.md files,
6788,https://github.com/tianocore/edk2/issues/6788,package:signedcapsulepkg | priority:medium | type:bug,SignedCapsulePkg has no Readme.md file (Bugzilla Bug 285),SignedCapsulePkg: Missing Readme.md file,85,"Meets all criteria except for a specific condition, which is not applicable here.",20,Description was sparse and did not provide additional details beyond the original title.,75,"Improved by specifying the missing file, though the original issue was straightforward.",Vague wording | Lack of specific symptom,Package name: SignedCapsulePkg,
6787,https://github.com/tianocore/edk2/issues/6787,package:basetools | priority:medium | type:bug,Outdated build instructions for linux (Bugzilla Bug 284),BaseTools: Outdated build instructions for Linux,70,States package and symptom but lacks specific condition or error details.,20,"Description is sparse, lacking specifics on the issue's nature or repro steps.",50,Title improvement marginal; original was vague but new title adds clarity on package and symptom.,Vague wording | Lacks specific details,Package name BaseTools,
6786,https://github.com/tianocore/edk2/issues/6786,package:basetools | priority:high | type:bug,GUIDED tool path can't be overriden in [BuildOptions] of DSC file (Bugzilla Bug 283),BaseTools/GUIDED: Overriding tool path in DSC [BuildOptions] fails,85,Meets most criteria but lacks specific condition details,20,Description lacked specifics on symptom or repro steps,75,Improves clarity and specificity over the original vague title,"Vague wording, missing concrete symptom","Package name (BaseTools), tool name (GUIDED)",
6785,https://github.com/tianocore/edk2/issues/6785,package:basetools | priority:medium | type:bug,Compiler warnings building basetools on Linux (Bugzilla Bug 282),BaseTools: Compiler warnings during build on Linux,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics about the symptom or conditions.,75,Improved clarity and specificity over original vague title.,"Vague, does not specify package/module or concrete symptom",Package name (BaseTools) from the description,
6784,https://github.com/tianocore/edk2/issues/6784,package:basetools | state:invalid | priority:low | type:bug,gcc-6 (using the GCC5 toolchain and the DEBUG target) seems to miscompile OvmfPkg/XenBusDxe (Bugzilla Bug 281),OvmfPkg/XenBusDxe: Miscompiled code using GCC5 toolchain DEBUG target,87,Meets most criteria but lacks specific symptom details.,63,"Provides module name and condition, but no detailed error or repro steps.",74,Improves clarity on the issue's context but could be more specific about symptom.,Vague wording | Lacks concrete symptom,GCC5 toolchain and DEBUG target condition,
6783,https://github.com/tianocore/edk2/issues/6783,package:mdemodulepkg | priority:low | type:bug,Incorrect local variable used in SubmitForSystem() function in MdeModulePkg\Universal\SetupBrowserDxe\Setup.c (Bugzilla Bug 280),MdeModulePkg/SetupBrowserDxe: Incorrect local variable use in SubmitForSystem(),85,Meets most criteria but lacks specific symptom and condition details.,20,Description lacked specifics on the exact issue or repro steps.,70,Improves clarity by naming module and function but lacks concrete symptom.,"Vague, does not specify symptom or condition | Too generic",Package name MdeModulePkg | Function name SubmitForSystem(),
6782,https://github.com/tianocore/edk2/issues/6782,priority:low | package:ueficpupkg | type:bug,Add missing MSR_IA32_VMX_BASIC_REGISTER and IA32_VMX_MISC_REGISTER structures (Bugzilla Bug 279),MdeModulePkg: Missing MSR structures for VMX,85,"Names package, states symptom of missing structures, but lacks specific condition.",20,Description lacked details on symptoms or conditions beyond the original title.,75,"Improved by naming package and symptom, though original was vague but not misleading.","Vague, lacks specific symptom or condition",Identified missing MSR structures,
6781,https://github.com/tianocore/edk2/issues/6781,package:mdemodulepkg | priority:medium | type:bug,SMM FreePages should handle Zero Address and Zero PageNumber (Bugzilla Bug 278),MdeModulePkg/SMMFreePages: ASSERT on zero address or page number,90,"Names package, states symptom (ASSERT), includes condition (zero address/page number)",50,Description lacks specific details but provided context for optimization,87,"Improved clarity and specificity, original was vague without concrete symptom",Vague description of problem | Lacks clear symptom,Package name from labels | Symptom inferred from title,
6780,https://github.com/tianocore/edk2/issues/6780,priority:low | package:ueficpupkg | type:bug,Reduce use of PSD structure layout in PiSmmCpuDxeSmm module (Bugzilla Bug 277),PiSmmCpuDxeSmm: Reduce PSD structure usage,85,Meets most criteria but lacks specific symptom or condition,20,Description lacked details on symptoms and conditions,60,"Improvement over original by naming module, but vague without concrete issue","Vague title, no specific symptom or condition",Module name PiSmmCpuDxeSmm,
6779,https://github.com/tianocore/edk2/issues/6779,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax SOURCE_DEBUG_ENABLE features does not work (Bugzilla Bug 276),Vlv2TbltDevicePkg: SOURCE_DEBUG_ENABLE does not activate debug features,85,Meets most criteria but lacks specific condition or trigger details.,30,"Description lacked specifics on symptom and conditions, making inference challenging.",72,Improves clarity over original by naming the package and specifying the issue with debug features.,Vague wording | Lack of specific symptoms or conditions,Package name Vlv2TbltDevicePkg | SOURCE_DEBUG_ENABLE feature not working,
6778,https://github.com/tianocore/edk2/issues/6778,package:networkpkg | priority:low | type:bug,Remove the unused KeyBuf in IpSecDxe driver (Bugzilla Bug 275),NetworkPkg/IpSecDxe: Remove unused KeyBuf,90,"Meets all criteria, clearly states package/module and action taken.",20,Description lacks specific details about the issue or condition.,85,"Title is clearer and more actionable than original, which was vague.",Vague wording | Lacks concrete symptom,Package name: NetworkPkg | Module name: IpSecDxe,
6775,https://github.com/tianocore/edk2/issues/6775,package:vlv2tbltdevicepkg | priority:low | type:bug,Fix typo in Vlv2TbltDevicePkg bld_vlv.bat that is generating a file called null (Bugzilla Bug 272),Vlv2TbltDevicePkg: bld_vlv.bat generates null file,85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked detailed information about the issue's specifics.,70,"Improves clarity over original, though exact conditions remain vague.",Vague wording | Lack of specific symptom,Package name Vlv2TbltDevicePkg | Script name bld_vlv.bat,
9568,https://github.com/tianocore/edk2/issues/9568,priority:medium | package:vlv2tbltdevicepkg | type:bug,MinnowMax memory init binary must guarantee that SMRAM is aligned (Bugzilla Bug 271),Vlv2TbltDevicePkg: SMRAM misalignment during memory init,85,Meets most criteria but lacks specific condition details.,40,Description lacked specifics on symptom and trigger conditions.,72,"Improves clarity over original, though exact conditions remain vague.",Vague wording | Lacks specific symptom,Package name Vlv2TbltDevicePkg,
9567,https://github.com/tianocore/edk2/issues/9567,priority:medium | package:vlv2tbltdevicepkg | type:bug,MinnowMax Vlv2BinaryPkg DigitalThermalSensor binary SMM modules put AP in busy state (Bugzilla Bug 270),Vlv2BinaryPkg/DigitalThermalSensor: AP busy state during SMM module execution,90,"Meets all criteria, names package and module, states symptom and condition.",50,Description provided minimal context but was not detailed enough for full repro steps or exact error codes.,90,"Optimized title is clearer, more specific and actionable than the original vague description.",Vague wording | Lack of concrete symptom,Package name Vlv2BinaryPkg | Module DigitalThermalSensor | AP busy state during SMM module execution,
9566,https://github.com/tianocore/edk2/issues/9566,priority:medium | package:vlv2tbltdevicepkg | type:bug,MinnowMax Vlv2BinaryPkg PowerManagement2 binary SMM modules generate ASSERT() (Bugzilla Bug 269),Vlv2BinaryPkg: ASSERT() in PowerManagement2 SMM modules during build,85,Meets most criteria but lacks specific condition for ASSERT failure,60,"Provides package name and symptom, but no detailed repro steps or error codes",75,"Improves clarity by specifying the package and concrete symptom, though original was somewhat clear",Vague description of a bug | Lacks specific module name,Package name Vlv2BinaryPkg | Symptom is ASSERT() failure,
6774,https://github.com/tianocore/edk2/issues/6774,priority:medium | package:vlv2tbltdevicepkg | type:bug,Vlv2TbltDevicePkg binary support modules need to be updated to use 4KB alignment (Bugzilla Bug 268),Vlv2TbltDevicePkg: Modules require 4KB alignment update,85,Meets most criteria but lacks specific symptom and condition details.,30,"Description lacked specifics on symptoms or conditions, only mentioned package name.",60,Improvement over original by specifying package but lacks concrete symptom and condition details.,"Vague title, no specific symptom or condition",Package name Vlv2TbltDevicePkg,
6773,https://github.com/tianocore/edk2/issues/6773,package:vlv2tbltdevicepkg | priority:low | type:bug,Vlv2TbltDevicePkg align PE/COFF image sections to 4KB to enable page level protection (Bugzilla Bug 267),Vlv2TbltDevicePkg: PE/COFF image sections misaligned causing protection issues,85,Meets most criteria but lacks specific condition and exact symptom,30,Description lacked details on the exact error or repro steps,72,Improves clarity but original was somewhat descriptive of issue,"Vague, lacks specific symptom and condition",Package name Vlv2TbltDevicePkg,
6772,https://github.com/tianocore/edk2/issues/6772,package:basetools | priority:high | state:invalid | type:bug,asm_resp/app_resp.txt can not be generated successfully (Bugzilla Bug 266),BaseTools: asm_resp/app_resp.txt generation fails,85,Meets most criteria but lacks specific condition or error message,20,Description lacked details on the exact symptom and conditions,70,"Improves clarity over original, though specifics are still vague",Vague wording | Lacks specific error or condition,Package name BaseTools,
6771,https://github.com/tianocore/edk2/issues/6771,package:basetools | priority:high | type:bug,PRE/POST Build fails when add quotation mark while it should be supported (Bugzilla Bug 265),BaseTools: Build fails when adding quotation marks,85,Meets most criteria but lacks specific condition details,30,Description lacked specifics on error messages or repro steps,75,Improves clarity and specificity over the original vague title,"Vague wording, missing symptom details",Package name BaseTools inferred from labels,
6770,https://github.com/tianocore/edk2/issues/6770,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax IA32 boot generates timeouts booting to the UEFI Shell (Bugzilla Bug 264),Vlv2TbltDevicePkg: Boot timeout on IA32 MinnowMax,85,"Names package, states symptom and condition but lacks module name.",40,Description lacked specific details about the error or repro steps.,75,"Improved by naming the package and specifying the symptom, though original was somewhat clear.",Vague wording | Lack of concrete symptom,Package name Vlv2TbltDevicePkg | Boot timeout on IA32 MinnowMax,
6769,https://github.com/tianocore/edk2/issues/6769,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax IA32 platform builds can not compile PlatformFlashAccessLib (Bugzilla Bug 263),Vlv2TbltDevicePkg: PlatformFlashAccessLib build error on MinnowMax IA32,85,"Meets all criteria except for a specific condition, which is not provided in the description.",40,The description lacks details about the error and how to reproduce it.,75,Improves clarity but does not add specific condition due to lack of information in the original title or description.,"Vague wording, missing symptom and package/module name",Package name Vlv2TbltDevicePkg inferred from labels,
6768,https://github.com/tianocore/edk2/issues/6768,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax has AP stuck in Busy state from DigitalThermalSensor binary SMM module (Bugzilla Bug 262),DigitalThermalSensor: AP stuck in busy state during SMM execution,85,Meets most criteria but lacks specific condition details.,20,Description lacked detailed information about the issue.,75,"Improved clarity and specificity, though original had some context.",Vague wording | Missing symptom details,Module name: DigitalThermalSensor,
6767,https://github.com/tianocore/edk2/issues/6767,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax generates ASSERT from PowerManagement2 binary SMM module (Bugzilla Bug 261),PowerManagement2: ASSERT fail during SMM execution on MinnowMax,90,"Meets all criteria, specifies package/module, symptom, and condition.",50,Description provided minimal context but was not detailed enough for full clarity.,87,"Significantly improves the original by specifying package/module, symptom, and condition.",Vague wording | Lack of specific module/package name,Package/Module: PowerManagement2 | Symptom: ASSERT fail | Condition: during SMM execution on MinnowMax,
6766,https://github.com/tianocore/edk2/issues/6766,package:vlv2tbltdevicepkg | priority:low | type:bug,MinnowMax memory init module does not produce aligned SMRAM HOB (Bugzilla Bug 260),Vlv2TbltDevicePkg/MemoryInit: SMRAM HOB not aligned during memory init,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on symptom and trigger conditions.,75,"Improved clarity over original, though exact conditions remain vague.",Vague wording | Lack of specific symptom,Package name | Symptom description,
6765,https://github.com/tianocore/edk2/issues/6765,package:vlv2tbltdevicepkg | priority:low | type:bug,Vlv2TbltDevicePkg platform builds do not complete (Bugzilla Bug 259),Vlv2TbltDevicePkg: build fails during platform compilation,85,"Names package, states symptom but lacks specific condition",30,Description lacked details on error message or repro steps,72,Improved clarity and specificity over original vague title,"Vague, does not specify symptom or condition",Package name from description,
6764,https://github.com/tianocore/edk2/issues/6764,package:vlv2tbltdevicepkg | priority:low | type:bug,Vlv2TbltDevicePkg platform can not build running BaseTools from sources (Bugzilla Bug 258),Vlv2TbltDevicePkg: Build fails using BaseTools source code,85,Meets most criteria but lacks specific build error details.,30,Description lacked specifics on the exact symptom or condition.,72,"Improved clarity and specificity over original, though exact error is still vague.",Vague wording | Lacks specific symptom,Package name Vlv2TbltDevicePkg | BaseTools source code,
6763,https://github.com/tianocore/edk2/issues/6763,package:basetools | priority:high | type:bug,[BaseTools/VolInfo] The output information of VolInfo tool is incorrect on Linux (Bugzilla Bug 257),BaseTools/VolInfo: Incorrect output on Linux,85,Meets most criteria but lacks specific condition details.,20,Description lacked specific error messages or repro steps.,75,Improved clarity and specificity over the original vague title.,"Vague wording, missing symptom details",Package name BaseTools/VolInfo | Incorrect output on Linux,
6762,https://github.com/tianocore/edk2/issues/6762,package:mdemodulepkg | priority:medium | type:bug,add NVMe PEI blockIo support (Bugzilla Bug 256),MdeModulePkg/NvmeDxe: Add PEI BlockIo support,70,"States package and module, but lacks symptom or condition as it's a feature request.",20,Description is sparse; title largely inferred from original title alone.,50,"Marginally better, but original was already reasonable as it's a feature request.",Vague and does not specify symptom or condition | Doesn't name the package/module,Feature addition for NVMe PEI BlockIo support,
6761,https://github.com/tianocore/edk2/issues/6761,package:basetools | priority:high | type:bug,VolInfo tool will report assert message if GuidedSectionTools.txt has no extra empty line (Bugzilla Bug 255),BaseTools/VolInfo: Assert on missing newline in GuidedSectionTools.txt,90,"Meets all criteria, clearly states package/module and specific symptom with condition.",50,Description provided minimal context but original title was already quite detailed.,87,"Improved clarity by specifying the exact file and condition, making it easier to triage.",Vague wording | Lack of specific symptom,VolInfo tool reports assert message | GuidedSectionTools.txt missing newline,
6760,https://github.com/tianocore/edk2/issues/6760,package:basetools | priority:high | type:bug,Fail to generate Patchable Pcd info into Asbuilt inf on GCC5 Tool chain (Bugzilla Bug 254),BaseTools: Patchable Pcd generation fails on GCC5,85,"States package, symptom, and condition but lacks specific module name.",20,Description lacked details about the error or repro steps.,75,"Improves clarity over original by specifying package, symptom, and condition.",Vague wording | Lacks specific module name,Package: BaseTools | Symptom: Patchable Pcd generation fails,
6759,https://github.com/tianocore/edk2/issues/6759,package:basetools | priority:high | type:bug,"The Pcd offset in the report ""FD VPD Region"" is incorrect (Bugzilla Bug 253)",BaseTools: Incorrect Pcd offset in FD VPD Region report,85,Meets most criteria but lacks specific condition or trigger information.,20,"Description lacked details on the symptom, module name, and repro steps.",75,Improves clarity over original but could be more specific with additional context.,Vague wording | Lacks specificity,Incorrect Pcd offset in FD VPD Region report,
6758,https://github.com/tianocore/edk2/issues/6758,package:basetools | priority:medium | type:bug,Missing detail error message of link.exe under Win7X64 env (Bugzilla Bug 252),BaseTools: Incomplete error message for link.exe on Win7X64,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics about the exact symptom or repro steps.,72,"Improves clarity and specificity over original, though some nuance may be lost.",Vague wording | Lacks specific symptom,BaseTools package | Win7X64 environment,
6756,https://github.com/tianocore/edk2/issues/6756,package:basetools | priority:medium | type:bug,[openbsd] Can't build BaseTools on OpenBSD 6.0-current (2016-11-07) amd64 (Bugzilla Bug 250),BaseTools: build fails on OpenBSD 6.0-current amd64,85,Meets most criteria but lacks specific error message or condition details.,20,Description lacked specifics about the build failure and did not provide exact error messages or conditions.,75,"Improved by specifying the package and platform, but original was vague and uninformative.",Vague wording | Lacks specific symptom,Platform details (OpenBSD 6.0-current amd64),
6755,https://github.com/tianocore/edk2/issues/6755,package:basetools | priority:high | type:bug,"RAW format doesn't support ""Align=32 and 64"" while it should support base on FDF Spec (Bugzilla Bug 248)",BaseTools: RAW format build fails for Align=32 and 64,85,Meets most criteria but lacks specific condition details,50,"Description provided minimal context, no repro steps or error codes",72,Improved clarity and specificity over original vague title,Vague wording | Missing symptom details,Package name BaseTools | Symptom of build failure,
6754,https://github.com/tianocore/edk2/issues/6754,package:mdemodulepkg | priority:low | type:bug,NetLibAsciiStrToIp6() function can't handle an invalid IPv6 address (Bugzilla Bug 247),MdeModulePkg/NetLib: NetLibAsciiStrToIp6() fails on invalid IPv6 address,90,"Meets all criteria, specifies package and module, concrete symptom, condition known.",50,Description lacks specific details but confirms the function name and issue.,89,"Improved clarity by specifying package/module and exact function, making it easier to triage.",Vague wording | Lacks specificity,Function name NetLibAsciiStrToIp6() | Issue with invalid IPv6 address,
6753,https://github.com/tianocore/edk2/issues/6753,priority:medium | package:ueficpupkg | type:bug,"UefiCpuDriver IA32 stack guard will report #double fault, instead of #page fault on violation. It brings confusing to the developer. (Bugzilla Bug 246)",UefiCpuDriver: #double fault instead of #page fault on stack violation,85,Meets most criteria but lacks specific condition details.,60,"Provides module name and symptom, but no detailed repro steps or error codes.",75,Improves clarity on the issue but loses some nuance from original context.,Vague wording | Lacks specific symptom,Module name: UefiCpuDriver | Symptom: #double fault instead of #page fault,
6752,https://github.com/tianocore/edk2/issues/6752,package:mdemodulepkg | priority:medium | type:bug,gConnectConInEvent initialize too late (Bugzilla Bug 245),MdeModulePkg/gConnectConInEvent: Initialize too late causing boot failure,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on symptom and trigger conditions.,72,"Improved clarity over original, though exact failure mode remains vague.",Vague wording | Lack of specific symptoms,Package name MdeModulePkg | Symptom related to initialization timing,
6751,https://github.com/tianocore/edk2/issues/6751,priority:medium | package:securitypkg | type:bug,Handle mis-configuration of PcdTcg2HashAlgorithmBitmap in software HashLib (Bugzilla Bug 244),SecurityPkg/Tcg2: Incorrect HashAlgorithmBitmap configuration,85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked specifics on the exact issue or repro steps.,60,Improvement over original by naming package/module but still vague.,"Vague wording, missing symptom and condition details",Package name SecurityPkg inferred from description,
6750,https://github.com/tianocore/edk2/issues/6750,package:shellpkg | priority:medium | type:bug,setvar command help info does not match with code behavior and spec (Bugzilla Bug 243),ShellPkg/SetVar: Help info mismatch code behavior spec,85,Meets most criteria but lacks specific condition details,30,Description lacked specifics on symptom or trigger conditions,75,Improved clarity and specificity over original vague title,"Vague wording, missing package/module name",ShellPkg package name,
6749,https://github.com/tianocore/edk2/issues/6749,priority:medium | package:ueficpupkg | type:bug,Add more and accurate information for SMM exception debug info (Bugzilla Bug 242),SmmDxe: Inaccurate SMM exception debug info,85,States package and symptom but lacks specific condition or trigger,30,Description lacked detailed information about the issue's specifics,72,"Improvement over original by specifying package and concrete symptom, though exact condition is still vague","Vague title, no specific module or symptom mentioned",Package name inferred from bugzilla label,
6748,https://github.com/tianocore/edk2/issues/6748,package:shellpkg | priority:medium | type:bug,"Shell tftp app should save a file by chunks, and not try to read the whole file into memory regardless of the size (Bugzilla Bug 241)",ShellPkg/Tftp: Memory issue when downloading large files,85,Meets most criteria but lacks specific symptom and condition details.,30,"Description lacked specifics on symptoms or conditions, only mentioned package name.",72,"Improves clarity over original by specifying the package and a general symptom, though exact condition is still vague.",Vague wording | Lacks specific symptom,ShellPkg mentioned in description,
6747,https://github.com/tianocore/edk2/issues/6747,package:shellpkg | priority:medium | type:bug,[ShellPkg] The 'cd' command does not work properly for certain path format (Bugzilla Bug 240),ShellPkg: 'cd' command fails for certain path formats,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on the exact paths or conditions causing failure.,72,"Improved clarity and specificity, though original was not entirely vague.","Vague wording ('not work properly'), missing symptom details",ShellPkg package name | 'cd' command malfunction,
6746,https://github.com/tianocore/edk2/issues/6746,package:mdepkg | priority:low | type:bug,[MdePkg/BaseLib] API PathRemoveLastItem() is not handling root paths like 'fs0:\' properly (Bugzilla Bug 239),MdePkg/BaseLib: PathRemoveLastItem() fails on root paths like 'fs0:\',95,"Meets all criteria, clearly states package/module and specific symptom with condition.",20,Description lacks details about the exact error or repro steps.,87,Significantly improves clarity and specificity over original vague title.,Vague wording | Lacks specific symptom,API name PathRemoveLastItem() | Root path example 'fs0:\',
